Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
rf2,7679,576,Localized CQR,RELU,Overall,,,90%,0.8437934027777777,0.011539671454975366,0.09998836678941685,0.006628165674822271,5.887473930722094,0.07851080521941185,0.10883267173209507,0.7114967462039046,0.029900322672646883,0.9116849004998585,0.200188154295954,
rf2,7679,576,Localized CQR,RELU,Bin 1,4,1,90%,0.7114967462039046,0.029900322672646883,0.12681784827806003,,,,,,,,,461.0
rf2,7679,576,Localized CQR,RELU,Bin 2,3,2,90%,0.8509761388286334,0.03250974915787235,0.08635013978278384,,,,,,,,,461.0
rf2,7679,576,Localized CQR,RELU,Bin 3,1,3,90%,0.8787418655097614,0.02703154194296589,0.09785040070216756,,,,,,,,,461.0
rf2,7679,576,Localized CQR,RELU,Bin 4,2,4,90%,0.8884782608695654,0.03111127051598973,0.08461741208235492,,,,,,,,,460.0
rf2,7679,576,Localized CQR,RELU,Bin 5,0,5,90%,0.8893709327548807,0.026048439136274318,0.10427269046677848,,,,,,,,,461.0
scm20d,8966,61,Global CQR,RELU,Overall,,,90%,0.8994423791821562,0.010295787186327978,0.8815994679927825,0.026160187075684148,195.564171289861,0.8060860753059387,0.31937354803085327,0.8579925650557622,0.010939731575882653,0.9468401486988848,0.08884758364312267,
scm20d,8966,61,Global CQR,RELU,Bin 1,4,1,90%,0.8635687732342008,0.014087208417469455,0.924942672252655,,,,,,,,,538.0
scm20d,8966,61,Global CQR,RELU,Bin 2,3,2,90%,0.866914498141264,0.011583967621474284,0.8810101687908173,,,,,,,,,538.0
scm20d,8966,61,Global CQR,RELU,Bin 3,2,3,90%,0.9094795539033458,0.019299552866350565,0.8399115681648255,,,,,,,,,538.0
scm20d,8966,61,Global CQR,RELU,Bin 4,1,4,90%,0.9104089219330854,0.016071350424696863,0.8706938683986664,,,,,,,,,538.0
scm20d,8966,61,Global CQR,RELU,Bin 5,0,5,90%,0.9468401486988848,0.013279235018209485,0.8914389371871948,,,,,,,,,538.0
scm20d,8966,61,Localized CQR,RELU,Overall,,,90%,0.9009665427509294,0.010603857078412585,0.8823550053794058,0.0341488523085883,195.71922434633362,0.7833555662073195,0.43463764383429615,0.8832713754646841,0.014368883338355159,0.9189591078066914,0.03568773234200743,
scm20d,8966,61,Localized CQR,RELU,Bin 1,3,1,90%,0.8923791821561338,0.014166690715458145,0.9640207345979782,,,,,,,,,538.0
scm20d,8966,61,Localized CQR,RELU,Bin 2,1,2,90%,0.8933085501858736,0.016122861295317068,0.797191669963141,,,,,,,,,538.0
